epoch,step,learning_rate,loss,val_loss
0,1240,9.999999747378752e-06,3.011741876602173,2.250605583190918
1,2481,9.999999747378752e-06,1.7641843557357788,1.9184876680374143
2,3722,9.999999747378752e-06,1.6284126043319702,1.9138606786727903
3,4963,9.999999747378752e-06,1.5223442316055298,1.8465642929077148
4,6204,9.999999747378752e-06,1.4297856092453003,1.5691430568695068
5,7445,9.999999747378752e-06,1.3347340822219849,1.7975999116897583
6,8686,9.999999747378752e-06,1.2496403455734253,1.365131139755249
7,9927,9.999999747378752e-06,1.167356014251709,1.2477564811706543
8,11168,9.999999747378752e-06,1.09176504611969,1.4233402013778689
9,12409,9.999999747378752e-06,1.0208312273025513,1.4579976797103882
10,13650,9.999999747378752e-06,0.9614363312721252,1.229837417602539
11,14891,9.999999747378752e-06,0.9105724096298218,1.311082124710083
12,16132,9.999999747378752e-06,0.8707200884819031,0.929173707962036
13,17373,9.999999747378752e-06,0.8359527587890625,1.0675723552703855
14,18614,9.999999747378752e-06,0.8047444820404053,1.1834203004837036
15,19855,9.999999747378752e-06,0.7772650122642517,1.2217519283294678
16,21096,9.999999747378752e-06,0.7541373372077942,1.0500645637512207
17,22337,9.999999747378752e-06,0.736531138420105,1.119701266288757
18,23578,9.999999747378752e-06,0.7183424830436707,1.0495054721832275
19,24819,9.999999747378752e-06,0.6996225714683533,1.1467642784118652
20,26060,9.999999747378752e-06,0.6848947405815125,1.3102045059204102
21,27301,9.999999747378752e-06,0.6705911755561829,1.244404435157776
22,28542,9.999999747378752e-06,0.6572434306144714,1.2981888055801392
23,29783,9.999999747378752e-06,0.6452798247337341,0.9845954179763794
24,31024,9.999999974752427e-07,0.6187418103218079,1.3136227130889893
25,32265,9.999999974752427e-07,0.6160075068473816,1.172728180885315
26,33506,9.999999974752427e-07,0.6134421825408936,1.3287121057510376
27,34747,9.999999974752427e-07,0.612714946269989,1.2003463506698608
28,35988,9.999999974752427e-07,0.611066997051239,1.2177308797836304
29,37229,9.999999974752427e-07,0.6100277900695801,1.1838806867599487
30,38470,9.999999974752427e-07,0.6083102226257324,1.274107813835144
31,39711,9.999999974752427e-07,0.6070815920829773,1.2620071172714231
32,40952,9.999999974752427e-07,0.6059736609458923,1.2577743530273438
