epoch,learning_rate,loss,step,val_loss
0,9.999999747378752e-06,,1240,2.250605583190918
0,,3.011741876602173,1240,
1,9.999999747378752e-06,,2481,1.9184876680374146
1,,1.7641843557357788,2481,
2,9.999999747378752e-06,,3722,1.9138606786727905
2,,1.6284126043319702,3722,
3,9.999999747378752e-06,,4963,1.8465642929077148
3,,1.5223442316055298,4963,
4,9.999999747378752e-06,,6204,1.5691430568695068
4,,1.4297856092453003,6204,
5,9.999999747378752e-06,,7445,1.7975999116897583
5,,1.3347340822219849,7445,
6,9.999999747378752e-06,,8686,1.365131139755249
6,,1.2496403455734253,8686,
7,9.999999747378752e-06,,9927,1.2477564811706543
7,,1.167356014251709,9927,
8,9.999999747378752e-06,,11168,1.4233402013778687
8,,1.09176504611969,11168,
9,9.999999747378752e-06,,12409,1.4579976797103882
9,,1.0208312273025513,12409,
10,9.999999747378752e-06,,13650,1.229837417602539
10,,0.9614363312721252,13650,
11,9.999999747378752e-06,,14891,1.311082124710083
11,,0.9105724096298218,14891,
12,9.999999747378752e-06,,16132,0.9291737079620361
12,,0.8707200884819031,16132,
13,9.999999747378752e-06,,17373,1.0675723552703857
13,,0.8359527587890625,17373,
14,9.999999747378752e-06,,18614,1.1834203004837036
14,,0.8047444820404053,18614,
15,9.999999747378752e-06,,19855,1.2217519283294678
15,,0.7772650122642517,19855,
16,9.999999747378752e-06,,21096,1.0500645637512207
16,,0.7541373372077942,21096,
17,9.999999747378752e-06,,22337,1.1197012662887573
17,,0.736531138420105,22337,
18,9.999999747378752e-06,,23578,1.0495054721832275
18,,0.7183424830436707,23578,
19,9.999999747378752e-06,,24819,1.1467642784118652
19,,0.6996225714683533,24819,
20,9.999999747378752e-06,,26060,1.3102045059204102
20,,0.6848947405815125,26060,
21,9.999999747378752e-06,,27301,1.2444044351577759
21,,0.6705911755561829,27301,
22,9.999999747378752e-06,,28542,1.2981888055801392
22,,0.6572434306144714,28542,
23,9.999999747378752e-06,,29783,0.9845954179763794
23,,0.6452798247337341,29783,
24,9.999999974752427e-07,,31024,1.3136227130889893
24,,0.6187418103218079,31024,
25,9.999999974752427e-07,,32265,1.172728180885315
25,,0.6160075068473816,32265,
26,9.999999974752427e-07,,33506,1.3287121057510376
26,,0.6134421825408936,33506,
27,9.999999974752427e-07,,34747,1.2003463506698608
27,,0.612714946269989,34747,
28,9.999999974752427e-07,,35988,1.2177308797836304
28,,0.611066997051239,35988,
29,9.999999974752427e-07,,37229,1.1838806867599487
29,,0.6100277900695801,37229,
30,9.999999974752427e-07,,38470,1.274107813835144
30,,0.6083102226257324,38470,
31,9.999999974752427e-07,,39711,1.2620071172714233
31,,0.6070815920829773,39711,
32,9.999999974752427e-07,,40952,1.2577743530273438
32,,0.6059736609458923,40952,
