epoch,learning_rate,loss,step,val_loss
0,9.999999747378752e-06,,1240,2.1404099464416504
0,,3.0855562686920166,1240,
1,9.999999747378752e-06,,2481,1.9200795888900757
1,,1.7692211866378784,2481,
2,9.999999747378752e-06,,3722,1.7028307914733887
2,,1.6370004415512085,3722,
3,9.999999747378752e-06,,4963,1.486796498298645
3,,1.5387635231018066,4963,
4,9.999999747378752e-06,,6204,1.6641755104064941
4,,1.4518744945526123,6204,
5,9.999999747378752e-06,,7445,1.507553219795227
5,,1.3585697412490845,7445,
6,9.999999747378752e-06,,8686,1.4569076299667358
6,,1.2669920921325684,8686,
7,9.999999747378752e-06,,9927,1.1485720872879028
7,,1.1825439929962158,9927,
8,9.999999747378752e-06,,11168,1.155216097831726
8,,1.1061334609985352,11168,
9,9.999999747378752e-06,,12409,1.21709144115448
9,,1.0358524322509766,12409,
10,9.999999747378752e-06,,13650,1.1943676471710205
10,,0.9728996157646179,13650,
11,9.999999747378752e-06,,14891,1.1563271284103394
11,,0.9226216077804565,14891,
12,9.999999747378752e-06,,16132,1.2168160676956177
12,,0.878483772277832,16132,
13,9.999999747378752e-06,,17373,1.0604690313339233
13,,0.8425182700157166,17373,
14,9.999999747378752e-06,,18614,1.0084333419799805
14,,0.8125054836273193,18614,
15,9.999999747378752e-06,,19855,1.1001847982406616
15,,0.782409131526947,19855,
16,9.999999747378752e-06,,21096,1.3909296989440918
16,,0.7591789960861206,21096,
17,9.999999747378752e-06,,22337,1.081822156906128
17,,0.7402145266532898,22337,
18,9.999999747378752e-06,,23578,1.0644140243530273
18,,0.7201626896858215,23578,
19,9.999999747378752e-06,,24819,1.1772217750549316
19,,0.7051392793655396,24819,
20,9.999999747378752e-06,,26060,1.4869322776794434
20,,0.688011646270752,26060,
21,9.999999747378752e-06,,27301,0.9343645572662354
21,,0.6756795644760132,27301,
22,9.999999747378752e-06,,28542,1.184206247329712
22,,0.6592965126037598,28542,
23,9.999999747378752e-06,,29783,1.1196647882461548
23,,0.6496241092681885,29783,
24,9.999999747378752e-06,,31024,1.2240289449691772
24,,0.6353888511657715,31024,
25,9.999999747378752e-06,,32265,1.4229847192764282
25,,0.6235795021057129,32265,
26,9.999999747378752e-06,,33506,1.006637454032898
26,,0.6151471734046936,33506,
27,9.999999747378752e-06,,34747,1.2863373756408691
27,,0.6041123270988464,34747,
28,9.999999747378752e-06,,35988,1.2329267263412476
28,,0.5925797820091248,35988,
29,9.999999747378752e-06,,37229,1.1895580291748047
29,,0.5846402645111084,37229,
30,9.999999747378752e-06,,38470,1.1699364185333252
30,,0.5751808285713196,38470,
31,9.999999747378752e-06,,39711,1.2423903942108154
31,,0.5681743621826172,39711,
32,9.999999747378752e-06,,40952,1.2646725177764893
32,,0.5586513876914978,40952,
33,9.999999974752427e-07,,42193,1.227433204650879
33,,0.5325189828872681,42193,
34,9.999999974752427e-07,,43434,1.3357970714569092
34,,0.5313442945480347,43434,
35,9.999999974752427e-07,,44675,1.2334662675857544
35,,0.5302687883377075,44675,
36,9.999999974752427e-07,,45916,1.3388186693191528
36,,0.529223620891571,45916,
37,9.999999974752427e-07,,47157,1.2933070659637451
37,,0.5283554792404175,47157,
38,9.999999974752427e-07,,48398,1.2231489419937134
38,,0.5283318758010864,48398,
39,9.999999974752427e-07,,49639,1.301539659500122
39,,0.5270304679870605,49639,
40,9.999999974752427e-07,,50880,1.3151540756225586
40,,0.5257779359817505,50880,
41,9.999999974752427e-07,,52121,1.3500256538391113
41,,0.5245894193649292,52121,
