split,split_filename,config_i,context,dropout,ensemble_size,features,learning_rate,merge_method,n_hidden,n_units,residual_depth,data,cache,labels,structure_column,epochs,batch_size,val_data,rmse,pearson_r,spearman_rho,model_class,n_parameters
test,data/train/test/data.csv,192,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.9953910112380981,0.2485423709460126,0.24053349455660783,bilinear-fp,1406211
training,data/train/train/data.csv,193,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.8134788274765015,0.2650198247741949,0.24290350558671925,bilinear-fp,1590147
validation,data/train/validation/data.csv,193,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.647469162940979,0.1891337752754379,0.21298606377634596,bilinear-fp,1590147
test,data/train/test/data.csv,193,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,2.006255865097046,0.24394491808090718,0.23622799901003422,bilinear-fp,1590147
training,data/train/train/data.csv,194,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.8173596858978271,0.25698830455672694,0.23520521605288292,bilinear-fp,1604547
validation,data/train/validation/data.csv,194,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.655516505241394,0.17781335194265682,0.20639291915747884,bilinear-fp,1604547
test,data/train/test/data.csv,194,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,2.007777690887451,0.23875485490497927,0.2305890647406341,bilinear-fp,1604547
training,data/train/train/data.csv,195,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.814661979675293,0.2644458483362887,0.24257792259574754,bilinear-fp,2861571
validation,data/train/validation/data.csv,195,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.6288484334945679,0.19061029052663703,0.2149294987068289,bilinear-fp,2861571
test,data/train/test/data.csv,195,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,2.0124216079711914,0.24702064064094104,0.2383199621818757,bilinear-fp,2861571
training,data/train/train/data.csv,196,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.821097493171692,0.25907949289246773,0.2383357429534705,bilinear-fp,3055107
validation,data/train/validation/data.csv,196,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.622438669204712,0.1560209755595913,0.1801527788527801,bilinear-fp,3055107
test,data/train/test/data.csv,196,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,2.029900550842285,0.24016276547372215,0.2306549397416357,bilinear-fp,3055107
training,data/train/train/data.csv,197,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.8156912326812744,0.2614797771609726,0.2392696780832101,bilinear-fp,3082179
validation,data/train/validation/data.csv,197,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.6389216184616089,0.2175330806695324,0.2357903572531297,bilinear-fp,3082179
test,data/train/test/data.csv,197,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,2.003114700317383,0.24678171694002354,0.23819490512798455,bilinear-fp,3082179
training,data/train/train/data.csv,198,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.8768649101257324,0.10088229553033054,0.09041216900230639,bilinear-fp,84387
validation,data/train/validation/data.csv,198,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.7838773727416992,0.03637896342362052,0.07989150158299943,bilinear-fp,84387
test,data/train/test/data.csv,198,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,2.062253475189209,0.09795666364627036,0.09913343143010217,bilinear-fp,84387
training,data/train/train/data.csv,199,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.8602899312973022,0.14450753994024218,0.12739432042426957,bilinear-fp,171219
validation,data/train/validation/data.csv,199,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.7870408296585083,0.026713186016800852,0.11441523533690204,bilinear-fp,171219
test,data/train/test/data.csv,199,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,2.0520524978637695,0.13152468732968406,0.127107558800842,bilinear-fp,171219
training,data/train/train/data.csv,19,,0.0,3,[['clogp']],1e-05,product,4,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.8693289756774902,0.13109959011244074,0.12258855767995797,bilinear-fp,22707
validation,data/train/validation/data.csv,19,,0.0,3,[['clogp']],1e-05,product,4,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.7256407737731934,0.23410241356373246,0.30488701885089675,bilinear-fp,22707
test,data/train/test/data.csv,19,,0.0,3,[['clogp']],1e-05,product,4,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,2.0520431995391846,0.20297206070860785,0.1946619703692326,bilinear-fp,22707
training,data/train/train/data.csv,1,,0.0,3,[['clogp']],1e-05,product,4,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.844003438949585,0.19551792946265367,0.17933916448654874,bilinear-fp,200115
validation,data/train/validation/data.csv,1,,0.0,3,[['clogp']],1e-05,product,4,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.4819362163543701,0.3501263041087316,0.37842014775304167,bilinear-fp,200115
test,data/train/test/data.csv,1,,0.0,3,[['clogp']],1e-05,product,4,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,2.016141891479492,0.23946257393297252,0.2249971536932842,bilinear-fp,200115
training,data/train/train/data.csv,200,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.8448773622512817,0.19455196677071324,0.17768694114903355,bilinear-fp,174531
validation,data/train/validation/data.csv,200,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.7210005521774292,0.04222800919147468,0.1284112513668631,bilinear-fp,174531
test,data/train/test/data.csv,200,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,2.0342206954956055,0.19822733934833597,0.1933647049678464,bilinear-fp,174531
training,data/train/train/data.csv,201,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.847049593925476,0.19874406996957708,0.1837687373671023,bilinear-fp,696579
validation,data/train/validation/data.csv,201,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.6859831809997559,0.039888764746987306,0.11997697607613844,bilinear-fp,696579
test,data/train/test/data.csv,201,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,2.050558090209961,0.19146001409167585,0.18712370551822385,bilinear-fp,696579
training,data/train/train/data.csv,202,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.8347609043121338,0.22138423041851676,0.2040559382176454,bilinear-fp,791811
validation,data/train/validation/data.csv,202,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.678558588027954,0.08732482025397231,0.15240628375683007,bilinear-fp,791811
test,data/train/test/data.csv,202,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,2.026947021484375,0.22001669048683492,0.21504138022474922,bilinear-fp,791811
training,data/train/train/data.csv,203,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.839448094367981,0.20896664400538018,0.19195445682763687,bilinear-fp,806211
validation,data/train/validation/data.csv,203,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.7317931652069092,0.07929567746898859,0.15907350389653252,bilinear-fp,806211
test,data/train/test/data.csv,203,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,2.0183823108673096,0.2123516433029382,0.20922340883113108,bilinear-fp,806211
training,data/train/train/data.csv,204,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.8380438089370728,0.22108290383033333,0.2043759920219338,bilinear-fp,1442307
validation,data/train/validation/data.csv,204,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.659654974937439,0.07780573249495003,0.13862137454326023,bilinear-fp,1442307
test,data/train/test/data.csv,204,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,2.0403847694396973,0.21405820814053236,0.20815427697406938,bilinear-fp,1442307
training,data/train/train/data.csv,205,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.8370308876037598,0.21852872656015904,0.20185405013322053,bilinear-fp,1547139
validation,data/train/validation/data.csv,205,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.6721004247665405,0.07416813510649682,0.13129390526412096,bilinear-fp,1547139
test,data/train/test/data.csv,205,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,2.034778594970703,0.21196041486431413,0.20786344472821178,bilinear-fp,1547139
training,data/train/train/data.csv,206,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.83908212184906,0.20990421047299734,0.19234553166168575,bilinear-fp,1574211
validation,data/train/validation/data.csv,206,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.7071826457977295,0.11582485332239331,0.18328680254699492,bilinear-fp,1574211
test,data/train/test/data.csv,206,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,2.018294095993042,0.2152833688356606,0.21123145639051666,bilinear-fp,1574211
training,data/train/train/data.csv,207,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.8283145427703857,0.23919628867763765,0.2212411888852204,bilinear-fp,182691
validation,data/train/validation/data.csv,207,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.6749515533447266,0.08956353783099326,0.13969005276189678,bilinear-fp,182691
test,data/train/test/data.csv,207,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,2.023380994796753,0.23532812578763834,0.22907401209716496,bilinear-fp,182691
training,data/train/train/data.csv,208,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.8302708864212036,0.22964302847897577,0.21011122779501998,bilinear-fp,367827
validation,data/train/validation/data.csv,208,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.710174322128296,0.10674852200497409,0.15253194377575588,bilinear-fp,367827
test,data/train/test/data.csv,208,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,2.0122225284576416,0.22705669697655387,0.2210101503364117,bilinear-fp,367827
training,data/train/train/data.csv,209,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.821885347366333,0.25017482181234785,0.2298178656500535,bilinear-fp,371139
validation,data/train/validation/data.csv,209,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.678720235824585,0.1367988527286678,0.1897262213427432,bilinear-fp,371139
test,data/train/test/data.csv,209,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,2.0121190547943115,0.24414829807366512,0.23463631153730036,bilinear-fp,371139
training,data/train/train/data.csv,20,,0.0,3,[['clogp']],1e-05,product,8,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.8705095052719116,0.12301593522444282,0.1171522612320018,bilinear-fp,26019
validation,data/train/validation/data.csv,20,,0.0,3,[['clogp']],1e-05,product,8,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.7200549840927124,0.29891038532993536,0.39074985519530836,bilinear-fp,26019
test,data/train/test/data.csv,20,,0.0,3,[['clogp']],1e-05,product,8,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,2.0521249771118164,0.19361899829046084,0.18715748216156164,bilinear-fp,26019
training,data/train/train/data.csv,210,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.8206170797348022,0.28056143245520593,0.259355275622841,bilinear-fp,1483011
validation,data/train/validation/data.csv,210,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.6032121181488037,0.13352596808295675,0.16258746578499528,bilinear-fp,1483011
test,data/train/test/data.csv,210,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,2.043351411819458,0.25084394227081713,0.24144444369103082,bilinear-fp,1483011
training,data/train/train/data.csv,211,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.8172082901000977,0.25945813992426386,0.23830233070201745,bilinear-fp,1676547
validation,data/train/validation/data.csv,211,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.6603031158447266,0.17708911458551457,0.21654898511910653,bilinear-fp,1676547
test,data/train/test/data.csv,211,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,2.004807472229004,0.25232084698261964,0.243674048290981,bilinear-fp,1676547
training,data/train/train/data.csv,212,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.8181556463241577,0.2590682241806431,0.23779615053545106,bilinear-fp,1690947
validation,data/train/validation/data.csv,212,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.6913628578186035,0.17156347373738493,0.2029998136277118,bilinear-fp,1690947
test,data/train/test/data.csv,212,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.9971197843551636,0.254367336301397,0.24516773330559935,bilinear-fp,1690947
training,data/train/train/data.csv,213,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.839938998222351,0.2548701756714954,0.23315233812857875,bilinear-fp,3015171
validation,data/train/validation/data.csv,213,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.749517560005188,0.26062945243027974,0.295071315415683,bilinear-fp,3015171
test,data/train/test/data.csv,213,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.9835574626922607,0.25665167587187987,0.2493559608269738,bilinear-fp,3015171
training,data/train/train/data.csv,214,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.8188987970352173,0.27675922854851326,0.255700268819528,bilinear-fp,3218307
validation,data/train/validation/data.csv,214,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.6220664978027344,0.11663301874399364,0.1494112810776358,bilinear-fp,3218307
test,data/train/test/data.csv,214,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,2.035914421081543,0.2494427751919311,0.24074450960013669,bilinear-fp,3218307
training,data/train/train/data.csv,215,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.8139781951904297,0.2703737737947455,0.24751549643046922,bilinear-fp,3245379
validation,data/train/validation/data.csv,215,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.6852821111679077,0.2055209357454469,0.23328799043945728,bilinear-fp,3245379
test,data/train/test/data.csv,215,,0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,128,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.989810585975647,0.25745683687806165,0.24854407210943424,bilinear-fp,3245379
training,data/train/train/data.csv,216,['endpoint:hash'],0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,0.8646600842475891,0.8883015784419602,0.8729174364231687,bilinear-fp,372753
validation,data/train/validation/data.csv,216,['endpoint:hash'],0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.0727956295013428,0.8003213566852555,0.642789237729174,bilinear-fp,372753
test,data/train/test/data.csv,216,['endpoint:hash'],0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.0902113914489746,0.8472994406013329,0.839725486066054,bilinear-fp,372753
training,data/train/train/data.csv,217,['endpoint:hash'],0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,0.8508037328720093,0.8919074727545242,0.8780670821273798,bilinear-fp,547761
validation,data/train/validation/data.csv,217,['endpoint:hash'],0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.080471396446228,0.7889238303610784,0.6299350405416001,bilinear-fp,547761
test,data/train/test/data.csv,217,['endpoint:hash'],0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,4,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.0917655229568481,0.8466143112734142,0.8391313913782531,bilinear-fp,547761
training,data/train/train/data.csv,218,['endpoint:hash'],0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,0.8550791144371033,0.890684410622198,0.8771990361380654,bilinear-fp,551073
validation,data/train/validation/data.csv,218,['endpoint:hash'],0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.1119996309280396,0.7741651562651115,0.6283986447790512,bilinear-fp,551073
test,data/train/test/data.csv,218,['endpoint:hash'],0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,8,8,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.0986671447753906,0.8443156900053038,0.8377166904069682,bilinear-fp,551073
training,data/train/train/data.csv,219,['endpoint:hash'],0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,0.7962793111801147,0.9058616550410901,0.8960683648295674,bilinear-fp,2874441
validation,data/train/validation/data.csv,219,['endpoint:hash'],0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.078049898147583,0.7935663020745336,0.644574101092336,bilinear-fp,2874441
test,data/train/test/data.csv,219,['endpoint:hash'],0.0,3,"[['clogp', 'transformer://models/llm/lchemme-1:clean_smiles']]",1e-05,product,1,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.0532753467559814,0.8573117652083447,0.8523303425189526,bilinear-fp,2874441
training,data/train/train/data.csv,21,,0.0,3,[['clogp']],1e-05,product,1,64,2,data/train/train/data.csv,.,['endpoint_value'],SMILES,1000,16,data/train/validation/data.csv,1.8581106662750244,0.1530569340079571,0.13895290342612254,bilinear-fp,102531
